Description	Count	Contig
CDS	239	Ef-P10-208
connector	0	Ef-P10-208
DNA, RNA and nucleotide metabolism	30	Ef-P10-208
head and packaging	20	Ef-P10-208
integration and excision	0	Ef-P10-208
lysis	2	Ef-P10-208
moron, auxiliary metabolic gene and host takeover	8	Ef-P10-208
other	12	Ef-P10-208
tail	13	Ef-P10-208
transcription regulation	3	Ef-P10-208
unknown function	151	Ef-P10-208
VFDB_Virulence_Factors	0	Ef-P10-208
CARD_AMR	0	Ef-P10-208
ACR_anti_crispr	0	Ef-P10-208
Defensefinder	1	Ef-P10-208
Netflax	0	Ef-P10-208
