Description	Count	contig
CDS	239	Ef-P10-208
connector	0	Ef-P10-208
DNA, RNA and nucleotide metabolism	21	Ef-P10-208
head and packaging	16	Ef-P10-208
integration and excision	0	Ef-P10-208
lysis	2	Ef-P10-208
moron, auxiliary metabolic gene and host takeover	5	Ef-P10-208
other	9	Ef-P10-208
tail	10	Ef-P10-208
transcription regulation	3	Ef-P10-208
unknown function	173	Ef-P10-208
tRNAs	8	Ef-P10-208
CRISPRs	0	Ef-P10-208
tmRNAs	0	Ef-P10-208
VFDB_Virulence_Factors	0	Ef-P10-208
CARD_AMR_Genes	0	Ef-P10-208
