Description	Count	contig
CDS	235	Ef-P20-208
connector	0	Ef-P20-208
DNA, RNA and nucleotide metabolism	21	Ef-P20-208
head and packaging	15	Ef-P20-208
integration and excision	0	Ef-P20-208
lysis	2	Ef-P20-208
moron, auxiliary metabolic gene and host takeover	5	Ef-P20-208
other	8	Ef-P20-208
tail	12	Ef-P20-208
transcription regulation	3	Ef-P20-208
unknown function	169	Ef-P20-208
tRNAs	7	Ef-P20-208
CRISPRs	0	Ef-P20-208
tmRNAs	0	Ef-P20-208
VFDB_Virulence_Factors	0	Ef-P20-208
CARD_AMR_Genes	0	Ef-P20-208
